=======Début heuristique=======
Ordre :  [4 0 6 5 4 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3 4
 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 6 2 5 8 9 0 5 1 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 8 9 7 2]
Durée :  1068
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1040
Meilleur temps trouvé : 1017
Convergence terminée
Descente directe :  [4 0 6 5 4 6 1 4 4 0 6 7 6 8 1 5 5 3 4 7 4 5 0 6 8 6 3 4 1 6 4 6 0 5 7 8 3
 4 7 9 6 0 3 1 4 0 1 5 9 8 2 6 9 0 5 8 7 1 9 0 3 9 2 5 8 9 0 5 8 5 2 3 8 1
 2 0 3 7 9 2 9 1 9 3 2 7 7 2 1 2 8 3 3 8 7 2 1 9 7 2]
Durée :  1017

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 1075.87, durée min : 1017, durée max : 1195
Iteration : 50, moyenne des durée : 1017.28, durée min : 1017, durée max : 1045
Iteration : 100, moyenne des durée : 1017.72, durée min : 1017, durée max : 1043
Iteration : 150, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 200, moyenne des durée : 1018.48, durée min : 1017, durée max : 1074
Iteration : 250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 300, moyenne des durée : 1017.73, durée min : 1017, durée max : 1074
Iteration : 350, moyenne des durée : 1019.28, durée min : 1017, durée max : 1087
Iteration : 400, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 450, moyenne des durée : 1017.37, durée min : 1017, durée max : 1043
Iteration : 500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 550, moyenne des durée : 1017.62, durée min : 1017, durée max : 1051
Iteration : 600, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 650, moyenne des durée : 1017.1, durée min : 1017, durée max : 1027
Iteration : 700, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 750, moyenne des durée : 1017.34, durée min : 1017, durée max : 1051
Iteration : 800, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 850, moyenne des durée : 1017.08, durée min : 1017, durée max : 1025
Iteration : 900, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 950, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1000, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1050, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1100, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1150, moyenne des durée : 1017.6, durée min : 1017, durée max : 1048
Iteration : 1200, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1250, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1300, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1350, moyenne des durée : 1017.93, durée min : 1017, durée max : 1067
Iteration : 1400, moyenne des durée : 1017.2, durée min : 1017, durée max : 1037
Iteration : 1450, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1500, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1550, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1600, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1650, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1700, moyenne des durée : 1017.89, durée min : 1017, durée max : 1051
Iteration : 1750, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
Iteration : 1800, moyenne des durée : 1017.0, durée min : 1017, durée max : 1017
