=======Début heuristique=======
Ordre :  [15 14  4  6 19  7  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5
  0  4 16  6  7 14 11 19  3  8  6 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 12 18  8  2  9 13  8 17  2  9
  2 12 17 13]
Durée :  1268
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 1267
Meilleur temps trouvé : 1266
Meilleur temps trouvé : 1265
Convergence terminée
Descente directe :  [14  4  6 19 16  0  5 19 16  3  1  6 16  0 19 16 16  4  7  4  3  6  5  0
  4  7  6  7 14 11 19  3  8  6 15 10  5  7  0  3 15  7 18 19 10 13  3  0
 10  1 15 11  5 10 12 11 18  5  1 15  9 10 18 15 14 11 17  1  2  8 11 14
 13  1  9 14 17  4 18 12  2 13  9 17  8 12 13 12 18  8  2  9 13  8 17  2
  9  2 12 17]
Durée :  1265

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 1316.93, durée min : 1265, durée max : 1429
Iteration : 50, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 100, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 150, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 200, moyenne des durée : 1266.43, durée min : 1265, durée max : 1334
Iteration : 250, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 300, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 350, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 400, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 450, moyenne des durée : 1269.18, durée min : 1265, durée max : 1355
Iteration : 500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 550, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 600, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 650, moyenne des durée : 1266.37, durée min : 1265, durée max : 1320
Iteration : 700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 750, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 800, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 850, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 900, moyenne des durée : 1266.92, durée min : 1265, durée max : 1307
Iteration : 950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1000, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1050, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1100, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1150, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1200, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1250, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1300, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1350, moyenne des durée : 1265.05, durée min : 1265, durée max : 1270
Iteration : 1400, moyenne des durée : 1265.24, durée min : 1265, durée max : 1289
Iteration : 1450, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1550, moyenne des durée : 1266.74, durée min : 1265, durée max : 1299
Iteration : 1600, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1650, moyenne des durée : 1265.09, durée min : 1265, durée max : 1274
Iteration : 1700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1750, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1800, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1850, moyenne des durée : 1265.02, durée min : 1265, durée max : 1267
Iteration : 1900, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 1950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2000, moyenne des durée : 1265.27, durée min : 1265, durée max : 1283
Iteration : 2050, moyenne des durée : 1265.32, durée min : 1265, durée max : 1282
Iteration : 2100, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2150, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2200, moyenne des durée : 1265.5, durée min : 1265, durée max : 1302
Iteration : 2250, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2300, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2350, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2400, moyenne des durée : 1265.85, durée min : 1265, durée max : 1294
Iteration : 2450, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2550, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2600, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2650, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2750, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2800, moyenne des durée : 1266.75, durée min : 1265, durée max : 1322
Iteration : 2850, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2900, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 2950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3000, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3050, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3100, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3150, moyenne des durée : 1266.52, durée min : 1265, durée max : 1327
Iteration : 3200, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3250, moyenne des durée : 1265.01, durée min : 1265, durée max : 1266
Iteration : 3300, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3350, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3400, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3450, moyenne des durée : 1265.33, durée min : 1265, durée max : 1298
Iteration : 3500, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3550, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3600, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3650, moyenne des durée : 1265.24, durée min : 1265, durée max : 1289
Iteration : 3700, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3750, moyenne des durée : 1265.66, durée min : 1265, durée max : 1307
Iteration : 3800, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3850, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3900, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 3950, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4000, moyenne des durée : 1265.0, durée min : 1265, durée max : 1265
Iteration : 4050, moyenne des durée : 1265.23, durée min : 1265, durée max : 1278
Iteration : 4100, moyenne des durée : 1266.66, durée min : 1265, durée max : 1310
