=======Début heuristique=======
Ordre :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 6 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 4 8 2 5 9 6 3
 2 7 5 9 5 2 5 2 7 2 3 3 3]
Durée :  821
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 756
Meilleur temps trouvé : 713
Meilleur temps trouvé : 704
Meilleur temps trouvé : 695
Meilleur temps trouvé : 687
Meilleur temps trouvé : 685
Convergence terminée
Descente directe :  [8 0 7 3 1 8 0 4 5 6 1 9 4 8 1 4 0 7 9 1 0 6 4 9 1 8 0 6 7 8 2 5 9 6 3 2 7
 5 2 5 2 5 2 3 7 3 9 3 6 4]
Durée :  685

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 741.74, durée min : 685, durée max : 844
Iteration : 50, moyenne des durée : 694.67, durée min : 685, durée max : 792
Iteration : 100, moyenne des durée : 691.05, durée min : 685, durée max : 760
Iteration : 150, moyenne des durée : 687.19, durée min : 685, durée max : 735
Iteration : 200, moyenne des durée : 687.93, durée min : 685, durée max : 756
Iteration : 250, moyenne des durée : 691.92, durée min : 685, durée max : 759
Iteration : 300, moyenne des durée : 685.94, durée min : 685, durée max : 732
Iteration : 350, moyenne des durée : 686.64, durée min : 685, durée max : 759
Iteration : 400, moyenne des durée : 688.05, durée min : 685, durée max : 741
Iteration : 450, moyenne des durée : 685.8, durée min : 685, durée max : 727
Iteration : 500, moyenne des durée : 685.18, durée min : 685, durée max : 700
Iteration : 550, moyenne des durée : 689.12, durée min : 685, durée max : 759
Iteration : 600, moyenne des durée : 685.77, durée min : 685, durée max : 723
Iteration : 650, moyenne des durée : 694.26, durée min : 685, durée max : 792
Iteration : 700, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 750, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 800, moyenne des durée : 689.22, durée min : 685, durée max : 735
Iteration : 850, moyenne des durée : 686.42, durée min : 685, durée max : 735
Iteration : 900, moyenne des durée : 689.41, durée min : 685, durée max : 759
Iteration : 950, moyenne des durée : 687.22, durée min : 685, durée max : 732
Iteration : 1000, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 1050, moyenne des durée : 685.0, durée min : 685, durée max : 685
Iteration : 1100, moyenne des durée : 685.25, durée min : 685, durée max : 701
