=======Début heuristique=======
Ordre :  [0 1 9 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 4 9 7 1 6 8 0 2 5 4 7 8 2 0 4 6 5 7
 3 1 6 8 6 0 7 9 0 3 3 3 3]
Durée :  711
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 675
Meilleur temps trouvé : 627
Meilleur temps trouvé : 622
Meilleur temps trouvé : 615
Convergence terminée
Descente directe :  [0 4 9 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 4 9 7 1 6 8 0 2 5 1 7 8 2 0 3 4 6 5
 7 3 1 6 8 0 6 3 7 9 3 3 0]
Durée :  615

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 654.23, durée min : 615, durée max : 745
Iteration : 50, moyenne des durée : 618.17, durée min : 615, durée max : 685
Iteration : 100, moyenne des durée : 622.92, durée min : 615, durée max : 709
Iteration : 150, moyenne des durée : 616.4, durée min : 615, durée max : 656
Iteration : 200, moyenne des durée : 632.06, durée min : 615, durée max : 707
Iteration : 250, moyenne des durée : 618.47, durée min : 615, durée max : 682
Iteration : 300, moyenne des durée : 616.74, durée min : 615, durée max : 652
Iteration : 350, moyenne des durée : 618.82, durée min : 615, durée max : 690
Iteration : 400, moyenne des durée : 618.76, durée min : 615, durée max : 682
Iteration : 450, moyenne des durée : 617.19, durée min : 615, durée max : 652
Iteration : 500, moyenne des durée : 615.3, durée min : 615, durée max : 632
Iteration : 550, moyenne des durée : 620.45, durée min : 615, durée max : 690
Iteration : 600, moyenne des durée : 617.57, durée min : 615, durée max : 663
Iteration : 650, moyenne des durée : 615.0, durée min : 615, durée max : 615
Iteration : 700, moyenne des durée : 619.76, durée min : 615, durée max : 698
Iteration : 750, moyenne des durée : 617.53, durée min : 615, durée max : 682
Iteration : 800, moyenne des durée : 615.12, durée min : 615, durée max : 623
Meilleur temps trouvé : 614
=======Début descente directe=======
Meilleur temps trouvé : 611
=======Convergence terminée=======
Descente directe :  [0 4 8 5 2 4 2 9 8 1 7 4 1 9 5 6 5 2 8 2 7 1 6 8 0 2 5 1 7 9 0 3 4 6 5 7 3
 1 6 8 0 6 3 7 9 3 3 0 9 4]
Durée :  611
Iteration : 850, moyenne des durée : 611.26, durée min : 611, durée max : 630
Iteration : 900, moyenne des durée : 615.39, durée min : 611, durée max : 685
Iteration : 950, moyenne des durée : 613.9, durée min : 611, durée max : 673
Iteration : 1000, moyenne des durée : 611.09, durée min : 611, durée max : 620
Iteration : 1050, moyenne des durée : 611.12, durée min : 611, durée max : 623
Iteration : 1100, moyenne des durée : 612.2, durée min : 611, durée max : 655
Iteration : 1150, moyenne des durée : 614.52, durée min : 611, durée max : 698
Iteration : 1200, moyenne des durée : 611.06, durée min : 611, durée max : 617
Iteration : 1250, moyenne des durée : 612.24, durée min : 611, durée max : 662
Iteration : 1300, moyenne des durée : 611.83, durée min : 611, durée max : 662
Iteration : 1350, moyenne des durée : 615.33, durée min : 611, durée max : 686
Iteration : 1400, moyenne des durée : 620.13, durée min : 611, durée max : 704
Iteration : 1450, moyenne des durée : 615.28, durée min : 611, durée max : 706
Iteration : 1500, moyenne des durée : 614.91, durée min : 611, durée max : 698
Iteration : 1550, moyenne des durée : 611.42, durée min : 611, durée max : 624
Iteration : 1600, moyenne des durée : 612.0, durée min : 611, durée max : 675
Iteration : 1650, moyenne des durée : 611.2, durée min : 611, durée max : 624
Iteration : 1700, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 1750, moyenne des durée : 616.13, durée min : 611, durée max : 700
Iteration : 1800, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 1850, moyenne des durée : 611.45, durée min : 611, durée max : 643
Iteration : 1900, moyenne des durée : 611.9, durée min : 611, durée max : 643
Iteration : 1950, moyenne des durée : 618.85, durée min : 611, durée max : 685
Iteration : 2000, moyenne des durée : 617.23, durée min : 611, durée max : 706
Iteration : 2050, moyenne des durée : 617.95, durée min : 611, durée max : 698
Iteration : 2100, moyenne des durée : 621.65, durée min : 611, durée max : 725
Iteration : 2150, moyenne des durée : 614.09, durée min : 611, durée max : 682
Iteration : 2200, moyenne des durée : 617.14, durée min : 611, durée max : 706
Iteration : 2250, moyenne des durée : 612.29, durée min : 611, durée max : 662
Iteration : 2300, moyenne des durée : 620.33, durée min : 611, durée max : 725
Iteration : 2350, moyenne des durée : 611.76, durée min : 611, durée max : 639
Iteration : 2400, moyenne des durée : 612.0, durée min : 611, durée max : 681
Iteration : 2450, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 2500, moyenne des durée : 611.04, durée min : 611, durée max : 615
Iteration : 2550, moyenne des durée : 611.73, durée min : 611, durée max : 655
Iteration : 2600, moyenne des durée : 614.06, durée min : 611, durée max : 682
Iteration : 2650, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 2700, moyenne des durée : 614.05, durée min : 611, durée max : 698
Iteration : 2750, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 2800, moyenne des durée : 621.26, durée min : 611, durée max : 709
Iteration : 2850, moyenne des durée : 611.71, durée min : 611, durée max : 643
Iteration : 2900, moyenne des durée : 613.37, durée min : 611, durée max : 670
Iteration : 2950, moyenne des durée : 614.85, durée min : 611, durée max : 688
Iteration : 3000, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 3050, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 3100, moyenne des durée : 611.68, durée min : 611, durée max : 643
Iteration : 3150, moyenne des durée : 613.94, durée min : 611, durée max : 682
Iteration : 3200, moyenne des durée : 612.69, durée min : 611, durée max : 655
Iteration : 3250, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 3300, moyenne des durée : 611.32, durée min : 611, durée max : 643
Iteration : 3350, moyenne des durée : 615.28, durée min : 611, durée max : 686
Iteration : 3400, moyenne des durée : 617.76, durée min : 611, durée max : 709
Iteration : 3450, moyenne des durée : 612.41, durée min : 611, durée max : 675
Iteration : 3500, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 3550, moyenne des durée : 615.76, durée min : 611, durée max : 687
Iteration : 3600, moyenne des durée : 613.96, durée min : 611, durée max : 684
Iteration : 3650, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 3700, moyenne des durée : 620.39, durée min : 611, durée max : 709
Iteration : 3750, moyenne des durée : 611.56, durée min : 611, durée max : 647
Iteration : 3800, moyenne des durée : 614.19, durée min : 611, durée max : 682
Iteration : 3850, moyenne des durée : 615.72, durée min : 611, durée max : 695
Iteration : 3900, moyenne des durée : 618.67, durée min : 611, durée max : 725
Iteration : 3950, moyenne des durée : 617.63, durée min : 611, durée max : 709
Iteration : 4000, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4050, moyenne des durée : 615.42, durée min : 611, durée max : 694
Iteration : 4100, moyenne des durée : 611.25, durée min : 611, durée max : 623
Iteration : 4150, moyenne des durée : 612.97, durée min : 611, durée max : 681
Iteration : 4200, moyenne des durée : 615.1, durée min : 611, durée max : 706
Iteration : 4250, moyenne des durée : 611.96, durée min : 611, durée max : 645
Iteration : 4300, moyenne des durée : 611.09, durée min : 611, durée max : 620
Iteration : 4350, moyenne des durée : 612.97, durée min : 611, durée max : 673
Iteration : 4400, moyenne des durée : 611.0, durée min : 611, durée max : 611
Iteration : 4450, moyenne des durée : 618.12, durée min : 611, durée max : 703
Iteration : 4500, moyenne des durée : 614.93, durée min : 611, durée max : 709
