=======Début heuristique=======
Ordre :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973
=======Fin heuristique=======

=======Début descente directe=======
Convergence terminée
Descente directe :  [ 5  9  4  3  7 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0
  3  2 11  9 12 11 13  3  0  6 14  9 12  4  6 12  9 11 10  2  6  1 14  4
 13  4  0  2  1  8  7 13  0 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10
 10  5  5]
Durée :  973

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 983.45, durée min : 973, durée max : 1035
Meilleur temps trouvé : 915
=======Début descente directe=======
Meilleur temps trouvé : 910
=======Convergence terminée=======
Descente directe :  [ 5  9  4  3 12  2  4 13  9  5  7  2  8  3 11  0  6 12  3 13 11  6  0  3
  2 11  9 12 11 13  3  0  6 14  9 12  4  4  6 12  9 11 10  2  6  1  0 14
  4 13  1  8 13  2 14  8  1  1  7 14  8  1 14 10  7  8 10  5 10 10  5  5
  7  7  0]
Durée :  910
Iteration : 50, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 100, moyenne des durée : 910.64, durée min : 910, durée max : 934
Iteration : 150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 200, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 250, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 400, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 650, moyenne des durée : 910.11, durée min : 910, durée max : 921
Iteration : 700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 800, moyenne des durée : 910.04, durée min : 910, durée max : 914
Iteration : 850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 950, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1200, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1250, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1400, moyenne des durée : 910.64, durée min : 910, durée max : 942
Iteration : 1450, moyenne des durée : 913.26, durée min : 910, durée max : 958
Iteration : 1500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1600, moyenne des durée : 910.14, durée min : 910, durée max : 919
Iteration : 1650, moyenne des durée : 910.18, durée min : 910, durée max : 924
Iteration : 1700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1850, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 1950, moyenne des durée : 910.26, durée min : 910, durée max : 936
Iteration : 2000, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2050, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2100, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2150, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2200, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2250, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2300, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2350, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2400, moyenne des durée : 910.15, durée min : 910, durée max : 925
Iteration : 2450, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2500, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2550, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2600, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2650, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2700, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2750, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2800, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2850, moyenne des durée : 911.99, durée min : 910, durée max : 960
Iteration : 2900, moyenne des durée : 910.0, durée min : 910, durée max : 910
Iteration : 2950, moyenne des durée : 910.0, durée min : 910, durée max : 910
