=======Début heuristique=======
Ordre :  [7 4 0 8 1 3 5 7 6 1 0 7 0 2 4 3 8 6 1 7 4 7 5 2 4 7 6 1 9 5 0 3 8 4 5 8 2
 1 3 3 8 5 4 0 2 6 0 8 9 3 4 3 2 8 8 2 5 0 7 8 5 6 2 3 1 7 8 7 5 9 4 7 0 3
 2 4 5 6 9 0 3 1 0 4 5 2 6 6 9 2 6 9 1 9 1 6 9 1 9 9]
Durée :  960
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 912
Meilleur temps trouvé : 897
Meilleur temps trouvé : 885
Meilleur temps trouvé : 881
Meilleur temps trouvé : 876
Meilleur temps trouvé : 875
Meilleur temps trouvé : 858
Meilleur temps trouvé : 849
Meilleur temps trouvé : 848
Meilleur temps trouvé : 835
Convergence terminée
Descente directe :  [7 4 0 8 1 3 5 7 6 1 0 2 7 0 2 4 3 8 6 1 7 4 7 5 2 4 7 6 1 9 5 0 3 8 4 5 8
 2 1 3 3 9 8 5 4 6 2 6 2 0 8 9 3 4 3 2 8 2 5 0 7 8 5 6 3 9 1 7 8 7 5 9 4 7
 0 4 6 9 0 1 0 4 5 2 6 6 9 2 0 9 1 9 1 6 9 1 8 5 3 3]
Durée :  835

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 893.85, durée min : 835, durée max : 1019
Iteration : 50, moyenne des durée : 836.07, durée min : 835, durée max : 868
Iteration : 100, moyenne des durée : 835.42, durée min : 835, durée max : 868
Iteration : 150, moyenne des durée : 840.85, durée min : 835, durée max : 910
Iteration : 200, moyenne des durée : 836.09, durée min : 835, durée max : 883
Iteration : 250, moyenne des durée : 837.15, durée min : 835, durée max : 906
Iteration : 300, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 350, moyenne des durée : 839.73, durée min : 835, durée max : 906
Iteration : 400, moyenne des durée : 839.41, durée min : 835, durée max : 911
Iteration : 450, moyenne des durée : 836.83, durée min : 835, durée max : 877
Iteration : 500, moyenne des durée : 837.4, durée min : 835, durée max : 889
Iteration : 550, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 600, moyenne des durée : 835.38, durée min : 835, durée max : 873
Iteration : 650, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 700, moyenne des durée : 841.97, durée min : 835, durée max : 929
Iteration : 750, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 800, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 850, moyenne des durée : 839.94, durée min : 835, durée max : 921
Iteration : 900, moyenne des durée : 840.05, durée min : 835, durée max : 910
Iteration : 950, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 1000, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 1050, moyenne des durée : 837.78, durée min : 835, durée max : 904
Iteration : 1100, moyenne des durée : 840.9, durée min : 835, durée max : 906
Iteration : 1150, moyenne des durée : 836.65, durée min : 835, durée max : 883
Iteration : 1200, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 1250, moyenne des durée : 841.05, durée min : 835, durée max : 917
Iteration : 1300, moyenne des durée : 836.35, durée min : 835, durée max : 883
Iteration : 1350, moyenne des durée : 838.93, durée min : 835, durée max : 898
Iteration : 1400, moyenne des durée : 845.49, durée min : 835, durée max : 930
Iteration : 1450, moyenne des durée : 839.16, durée min : 835, durée max : 911
Iteration : 1500, moyenne des durée : 835.2, durée min : 835, durée max : 851
Iteration : 1550, moyenne des durée : 837.99, durée min : 835, durée max : 889
Iteration : 1600, moyenne des durée : 835.2, durée min : 835, durée max : 851
Iteration : 1650, moyenne des durée : 836.15, durée min : 835, durée max : 873
Iteration : 1700, moyenne des durée : 835.28, durée min : 835, durée max : 854
Iteration : 1750, moyenne des durée : 836.11, durée min : 835, durée max : 889
Iteration : 1800, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 1850, moyenne des durée : 835.38, durée min : 835, durée max : 854
Iteration : 1900, moyenne des durée : 836.18, durée min : 835, durée max : 876
Iteration : 1950, moyenne des durée : 841.37, durée min : 835, durée max : 937
Iteration : 2000, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 2050, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 2100, moyenne des durée : 837.7, durée min : 835, durée max : 889
Iteration : 2150, moyenne des durée : 838.3, durée min : 835, durée max : 907
Iteration : 2200, moyenne des durée : 839.68, durée min : 835, durée max : 906
Iteration : 2250, moyenne des durée : 836.42, durée min : 835, durée max : 889
Iteration : 2300, moyenne des durée : 841.56, durée min : 835, durée max : 939
Iteration : 2350, moyenne des durée : 839.86, durée min : 835, durée max : 906
Iteration : 2400, moyenne des durée : 836.12, durée min : 835, durée max : 889
Iteration : 2450, moyenne des durée : 838.26, durée min : 835, durée max : 906
Iteration : 2500, moyenne des durée : 836.24, durée min : 835, durée max : 882
Iteration : 2550, moyenne des durée : 836.74, durée min : 835, durée max : 889
Iteration : 2600, moyenne des durée : 837.09, durée min : 835, durée max : 910
Iteration : 2650, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 2700, moyenne des durée : 835.09, durée min : 835, durée max : 844
Iteration : 2750, moyenne des durée : 835.28, durée min : 835, durée max : 863
Iteration : 2800, moyenne des durée : 839.28, durée min : 835, durée max : 906
Iteration : 2850, moyenne des durée : 840.68, durée min : 835, durée max : 922
Iteration : 2900, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 2950, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 3000, moyenne des durée : 835.77, durée min : 835, durée max : 868
Iteration : 3050, moyenne des durée : 835.99, durée min : 835, durée max : 889
Iteration : 3100, moyenne des durée : 835.04, durée min : 835, durée max : 839
Iteration : 3150, moyenne des durée : 842.75, durée min : 835, durée max : 936
Iteration : 3200, moyenne des durée : 835.62, durée min : 835, durée max : 876
Iteration : 3250, moyenne des durée : 838.3, durée min : 835, durée max : 890
Iteration : 3300, moyenne des durée : 836.18, durée min : 835, durée max : 876
Iteration : 3350, moyenne des durée : 838.22, durée min : 835, durée max : 889
Iteration : 3400, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 3450, moyenne des durée : 841.71, durée min : 835, durée max : 947
Iteration : 3500, moyenne des durée : 838.81, durée min : 835, durée max : 890
Iteration : 3550, moyenne des durée : 837.15, durée min : 835, durée max : 888
Iteration : 3600, moyenne des durée : 836.15, durée min : 835, durée max : 870
Iteration : 3650, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 3700, moyenne des durée : 835.52, durée min : 835, durée max : 883
Iteration : 3750, moyenne des durée : 838.42, durée min : 835, durée max : 915
Iteration : 3800, moyenne des durée : 839.85, durée min : 835, durée max : 909
Iteration : 3850, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 3900, moyenne des durée : 840.23, durée min : 835, durée max : 910
Iteration : 3950, moyenne des durée : 838.63, durée min : 835, durée max : 911
Iteration : 4000, moyenne des durée : 841.83, durée min : 835, durée max : 906
Iteration : 4050, moyenne des durée : 836.44, durée min : 835, durée max : 889
Iteration : 4100, moyenne des durée : 835.11, durée min : 835, durée max : 846
Iteration : 4150, moyenne des durée : 839.95, durée min : 835, durée max : 912
Iteration : 4200, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 4250, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 4300, moyenne des durée : 841.59, durée min : 835, durée max : 909
Iteration : 4350, moyenne des durée : 837.66, durée min : 835, durée max : 896
Iteration : 4400, moyenne des durée : 838.44, durée min : 835, durée max : 904
Iteration : 4450, moyenne des durée : 842.92, durée min : 835, durée max : 925
Iteration : 4500, moyenne des durée : 848.0, durée min : 835, durée max : 950
Iteration : 4550, moyenne des durée : 843.52, durée min : 835, durée max : 950
Iteration : 4600, moyenne des durée : 837.0, durée min : 835, durée max : 889
Iteration : 4650, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 4700, moyenne des durée : 838.78, durée min : 835, durée max : 909
Iteration : 4750, moyenne des durée : 837.83, durée min : 835, durée max : 907
Iteration : 4800, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 4850, moyenne des durée : 835.09, durée min : 835, durée max : 844
Iteration : 4900, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 4950, moyenne des durée : 836.01, durée min : 835, durée max : 890
Iteration : 5000, moyenne des durée : 839.31, durée min : 835, durée max : 906
Iteration : 5050, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 5100, moyenne des durée : 835.59, durée min : 835, durée max : 865
Iteration : 5150, moyenne des durée : 841.33, durée min : 835, durée max : 911
Iteration : 5200, moyenne des durée : 835.12, durée min : 835, durée max : 847
Iteration : 5250, moyenne des durée : 839.48, durée min : 835, durée max : 911
Iteration : 5300, moyenne des durée : 836.0, durée min : 835, durée max : 887
Iteration : 5350, moyenne des durée : 839.6, durée min : 835, durée max : 910
Iteration : 5400, moyenne des durée : 836.74, durée min : 835, durée max : 883
Iteration : 5450, moyenne des durée : 837.03, durée min : 835, durée max : 914
Iteration : 5500, moyenne des durée : 847.13, durée min : 835, durée max : 939
Iteration : 5550, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 5600, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 5650, moyenne des durée : 835.01, durée min : 835, durée max : 836
Iteration : 5700, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 5750, moyenne des durée : 838.37, durée min : 835, durée max : 889
Iteration : 5800, moyenne des durée : 843.13, durée min : 835, durée max : 906
Iteration : 5850, moyenne des durée : 837.71, durée min : 835, durée max : 906
Iteration : 5900, moyenne des durée : 838.5, durée min : 835, durée max : 910
Iteration : 5950, moyenne des durée : 838.59, durée min : 835, durée max : 897
Iteration : 6000, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 6050, moyenne des durée : 835.73, durée min : 835, durée max : 865
Iteration : 6100, moyenne des durée : 846.91, durée min : 835, durée max : 939
Iteration : 6150, moyenne des durée : 836.51, durée min : 835, durée max : 889
Iteration : 6200, moyenne des durée : 843.46, durée min : 835, durée max : 935
Iteration : 6250, moyenne des durée : 835.48, durée min : 835, durée max : 883
Iteration : 6300, moyenne des durée : 835.16, durée min : 835, durée max : 851
Iteration : 6350, moyenne des durée : 838.73, durée min : 835, durée max : 906
Iteration : 6400, moyenne des durée : 835.57, durée min : 835, durée max : 870
Iteration : 6450, moyenne des durée : 840.7, durée min : 835, durée max : 929
Iteration : 6500, moyenne des durée : 840.97, durée min : 835, durée max : 939
Iteration : 6550, moyenne des durée : 838.57, durée min : 835, durée max : 906
Iteration : 6600, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 6650, moyenne des durée : 837.77, durée min : 835, durée max : 914
Iteration : 6700, moyenne des durée : 839.88, durée min : 835, durée max : 925
Iteration : 6750, moyenne des durée : 837.58, durée min : 835, durée max : 913
Iteration : 6800, moyenne des durée : 844.88, durée min : 835, durée max : 939
Iteration : 6850, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 6900, moyenne des durée : 837.34, durée min : 835, durée max : 910
Iteration : 6950, moyenne des durée : 839.68, durée min : 835, durée max : 911
Iteration : 7000, moyenne des durée : 840.35, durée min : 835, durée max : 939
Iteration : 7050, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 7100, moyenne des durée : 836.65, durée min : 835, durée max : 897
Iteration : 7150, moyenne des durée : 835.69, durée min : 835, durée max : 872
Iteration : 7200, moyenne des durée : 835.23, durée min : 835, durée max : 856
Iteration : 7250, moyenne des durée : 839.12, durée min : 835, durée max : 907
Iteration : 7300, moyenne des durée : 836.97, durée min : 835, durée max : 889
Iteration : 7350, moyenne des durée : 835.46, durée min : 835, durée max : 881
Iteration : 7400, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 7450, moyenne des durée : 843.21, durée min : 835, durée max : 939
Iteration : 7500, moyenne des durée : 835.04, durée min : 835, durée max : 839
Iteration : 7550, moyenne des durée : 836.31, durée min : 835, durée max : 889
Iteration : 7600, moyenne des durée : 836.95, durée min : 835, durée max : 889
Iteration : 7650, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 7700, moyenne des durée : 836.3, durée min : 835, durée max : 883
Iteration : 7750, moyenne des durée : 836.15, durée min : 835, durée max : 889
Iteration : 7800, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 7850, moyenne des durée : 835.17, durée min : 835, durée max : 851
Iteration : 7900, moyenne des durée : 835.02, durée min : 835, durée max : 837
Iteration : 7950, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 8000, moyenne des durée : 837.18, durée min : 835, durée max : 906
Iteration : 8050, moyenne des durée : 840.66, durée min : 835, durée max : 938
Iteration : 8100, moyenne des durée : 838.99, durée min : 835, durée max : 920
Iteration : 8150, moyenne des durée : 842.13, durée min : 835, durée max : 936
Iteration : 8200, moyenne des durée : 835.29, durée min : 835, durée max : 864
Iteration : 8250, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 8300, moyenne des durée : 835.68, durée min : 835, durée max : 887
Iteration : 8350, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 8400, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 8450, moyenne des durée : 841.93, durée min : 835, durée max : 939
Iteration : 8500, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 8550, moyenne des durée : 838.56, durée min : 835, durée max : 908
Iteration : 8600, moyenne des durée : 841.5, durée min : 835, durée max : 917
Iteration : 8650, moyenne des durée : 837.76, durée min : 835, durée max : 907
Iteration : 8700, moyenne des durée : 843.18, durée min : 835, durée max : 935
Iteration : 8750, moyenne des durée : 835.35, durée min : 835, durée max : 870
Iteration : 8800, moyenne des durée : 837.46, durée min : 835, durée max : 906
Iteration : 8850, moyenne des durée : 836.71, durée min : 835, durée max : 879
Iteration : 8900, moyenne des durée : 837.46, durée min : 835, durée max : 884
Iteration : 8950, moyenne des durée : 835.9, durée min : 835, durée max : 868
Iteration : 9000, moyenne des durée : 836.5, durée min : 835, durée max : 889
Iteration : 9050, moyenne des durée : 835.75, durée min : 835, durée max : 879
Iteration : 9100, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 9150, moyenne des durée : 838.5, durée min : 835, durée max : 889
Iteration : 9200, moyenne des durée : 838.66, durée min : 835, durée max : 915
Iteration : 9250, moyenne des durée : 837.43, durée min : 835, durée max : 906
Iteration : 9300, moyenne des durée : 836.34, durée min : 835, durée max : 883
Iteration : 9350, moyenne des durée : 835.26, durée min : 835, durée max : 852
Iteration : 9400, moyenne des durée : 835.62, durée min : 835, durée max : 868
Iteration : 9450, moyenne des durée : 838.59, durée min : 835, durée max : 906
Iteration : 9500, moyenne des durée : 836.56, durée min : 835, durée max : 889Ouverture dans une session de navigateur existante.

Iteration : 9550, moyenne des durée : 841.14, durée min : 835, durée max : 938
Iteration : 9600, moyenne des durée : 840.18, durée min : 835, durée max : 930
Iteration : 9650, moyenne des durée : 838.54, durée min : 835, durée max : 901
Iteration : 9700, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 9750, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 9800, moyenne des durée : 841.36, durée min : 835, durée max : 939
Iteration : 9850, moyenne des durée : 838.01, durée min : 835, durée max : 911
Iteration : 9900, moyenne des durée : 835.0, durée min : 835, durée max : 835
Iteration : 9950, moyenne des durée : 843.28, durée min : 835, durée max : 939
Optimum non trouvé après 9999 itérations
Temps :  1553.6942961215973
Durée final 835
Ordre final [7 4 0 8 1 3 5 7 6 1 0 2 7 0 2 4 3 8 6 1 7 4 7 5 2 4 7 6 1 9 5 0 3 8 4 5 8
 2 1 3 3 9 8 5 4 6 2 6 2 0 8 9 3 4 3 2 8 2 5 0 7 8 5 6 3 9 1 7 8 7 5 9 4 7
 0 4 6 9 0 1 0 4 5 2 6 6 9 2 0 9 1 9 1 6 9 1 8 5 3 3]
