=======Début heuristique=======
Ordre :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 3 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 8 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 7 6 9 3 8 0 7 6 9 7 6 9 6 9 9]
Durée :  1050
=======Fin heuristique=======

=======Début descente directe=======
Meilleur temps trouvé : 983
Meilleur temps trouvé : 954
Meilleur temps trouvé : 944
Meilleur temps trouvé : 942
Convergence terminée
Descente directe :  [8 3 1 2 0 7 8 5 1 4 9 1 8 0 3 1 4 7 5 9 2 3 2 6 4 9 5 0 4 7 3 4 8 2 7 5 1
 0 6 2 3 5 8 3 0 8 1 6 1 4 6 5 0 9 8 3 4 1 0 6 5 2 0 9 7 1 4 2 6 4 0 2 5 8
 2 2 1 7 3 4 9 7 5 0 5 9 6 9 3 8 9 3 7 6 9 7 6 6 7 8]
Durée :  942

=======Début exploration génétique=======
Iteration : 0, moyenne des durée : 980.74, durée min : 942, durée max : 1068
Iteration : 50, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 100, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 150, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 250, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 300, moyenne des durée : 942.55, durée min : 942, durée max : 966
Iteration : 350, moyenne des durée : 942.09, durée min : 942, durée max : 949
Iteration : 400, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 450, moyenne des durée : 942.04, durée min : 942, durée max : 944
Iteration : 500, moyenne des durée : 942.09, durée min : 942, durée max : 949
Iteration : 550, moyenne des durée : 942.66, durée min : 942, durée max : 977
Iteration : 600, moyenne des durée : 943.01, durée min : 942, durée max : 1012
Iteration : 650, moyenne des durée : 942.15, durée min : 942, durée max : 950
Iteration : 700, moyenne des durée : 942.03, durée min : 942, durée max : 945
Iteration : 750, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 800, moyenne des durée : 944.47, durée min : 942, durée max : 1009
Iteration : 850, moyenne des durée : 942.32, durée min : 942, durée max : 960
Iteration : 900, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 950, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 1000, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 1050, moyenne des durée : 943.21, durée min : 942, durée max : 971
Iteration : 1100, moyenne des durée : 942.03, durée min : 942, durée max : 945
Iteration : 1150, moyenne des durée : 942.75, durée min : 942, durée max : 965
Iteration : 1200, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 1250, moyenne des durée : 942.07, durée min : 942, durée max : 949
Iteration : 1300, moyenne des durée : 942.28, durée min : 942, durée max : 949
Iteration : 1350, moyenne des durée : 942.25, durée min : 942, durée max : 963
Iteration : 1400, moyenne des durée : 942.09, durée min : 942, durée max : 949
Iteration : 1450, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 1500, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 1550, moyenne des durée : 942.05, durée min : 942, durée max : 947
Iteration : 1600, moyenne des durée : 942.0, durée min : 942, durée max : 942
Iteration : 1650, moyenne des durée : 942.27, durée min : 942, durée max : 961
